--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE439      12     0.5000     0.8333     0.6053     1.0833    1.7078    
SITE442      16     0.3125     0.8750     0.5357     1.4375    2.0156    
SITE446      18     0.4444     0.5556     -1.3489    3.0556    4.5765    
SITE454      6      0.5000     0.5000     -0.8750    2.3333    3.4157    
SITE455      7      0.1429     0.2857     -0.7314    3.0000    3.6450    
SITE463      5      0.6000     0.8000     0.2526     1.4000    2.4083    
SITE464      6      0.6667     0.8333     0.4032     1.1667    2.4833    
SITE468      5      0.6000     0.6000     -2.1818    2.8000    4.4272    
SITE471      15     0.6000     0.6667     0.0455     1.6667    2.9777    
SITE474      6      0.3333     0.6667     -0.7867    2.1667    3.3417    
SITE477      9      0.4444     0.6667     -0.5537    2.2222    3.4319    
SITE483      8      0.6250     0.8750     0.7622     0.7500    1.3229    
SITE485      9      0.5556     0.8889     0.5724     1.1111    2.1602    
SITE486      5      0.6000     1.0000     0.9194     0.4000    0.6325    
SITE490      11     0.4545     0.7273     0.3125     1.2727    1.9069    
SITE492      5      0.6000     0.8000     0.2857     0.8000    1.4142    
SITE506      8      0.5000     0.5000     0.0524     1.7500    2.5495    
SITE508      24     0.4167     0.6250     0.0560     2.0000    2.8577    
SITE520      15     0.4667     0.8667     0.4988     1.1333    1.9494    
SITE521      15     0.4000     0.8000     0.7111     1.2667    1.8074    
SITE522      15     0.6000     0.6667     -0.2483    1.7333    2.8983    
SITE528      9      0.5556     0.7778     -0.4231    1.5556    2.8674    
SITE538      7      0.2857     0.4286     -0.9457    4.0000    4.9857    
SITE539      5      0.2000     0.6000     -0.2168    2.6000    3.3166    
SITE541      8      0.5000     0.6250     0.3067     1.8750    2.8062    
SITE542      7      0.7143     1.0000     0.9252     0.4286    0.8452    
SITE545      8      0.6250     0.8750     -0.2670    1.5000    3.2787    
SITE557      16     0.1875     0.6875     0.1552     2.0000    2.4749    
SITE561      14     0.2143     0.6429     -0.0400    2.1429    3.0706    
SITE563      9      0.4444     0.8889     0.7297     0.8889    1.4907    
SITE564      7      0.4286     0.5714     0.4453     1.7143    2.4495    
SITE569      11     0.4545     0.7273     0.0807     1.5455    2.3160    
SITE572      7      0.7143     0.7143     0.3000     1.0000    1.8898    
SITE574      6      0.3333     0.8333     0.5985     1.3333    1.7321    
SITE575      14     0.2857     0.5714     -0.4982    2.2857    2.9520    
SITE577      6      0.3333     0.5000     -1.4478    2.6667    3.6968    
SITE578      7      0.8571     1.0000     0.9470     0.1429    0.3780    
SITE581      9      0.5556     0.6667     0.3545     1.2222    1.9720    
SITE584      7      0.4286     0.8571     0.1393     1.0000    1.4639    
SITE587      8      0.7500     0.8750     0.3681     1.1250    2.5739    
SITE593      10     0.4000     0.8000     -0.6443    2.0000    3.1305    
SITE595      16     0.3750     0.5625     0.0320     1.8750    2.5495    
SITE597      7      0.8571     1.0000     0.9771     0.1429    0.3780    
SITE598      7      0.1429     0.7143     -0.0370    1.7143    2.1381    
SITE601      8      0.6250     0.7500     0.5556     1.2500    2.3979    
SITE602      10     0.3000     0.7000     -1.0139    2.5000    3.8079    
SITE606      13     0.5385     0.7692     -0.0154    1.7692    3.2463    
SITE607      9      0.4444     0.5556     0.3940     1.6667    2.2852    
SITE610      8      0.3750     0.6250     -0.6286    2.3750    3.3727    
SITE612      13     0.3846     0.4615     -0.4688    2.3077    3.2106    
SITE616      11     0.3636     0.9091     0.7177     1.1818    1.5667    
SITE617      10     0.7000     0.8000     0.6915     0.9000    1.7029    
SITE620      15     0.6000     0.9333     0.7913     0.8667    1.3904    
SITE622      10     0.4000     0.7000     -0.7138    1.9000    3.3015    
SITE623      8      0.5000     1.0000     0.6667     0.5000    0.7071    
SITE624      7      0.2857     0.7143     -0.0818    1.7143    2.2039    
SITE626      7      0.8571     1.0000     0.9832     0.1429    0.3780    
SITE629      10     0.5000     0.6000     0.3725     1.5000    2.1679    
SITE639      10     0.4000     0.8000     0.3532     1.4000    2.2804    
SITE658      12     0.3333     0.8333     0.4984     1.5000    2.0817    
SITE683      7      0.7143     1.0000     0.4909     0.5714    1.0690    
SITE684      13     0.3077     0.6923     -0.1723    2.2308    3.0760    
SITE692      13     0.2308     0.6154     -0.4549    2.3077    3.0884    
SITE719      14     0.5000     0.8571     0.4336     1.1429    1.8127    
SITE721      10     0.2000     0.7000     0.0938     2.4000    2.9326    
SITE722      13     0.3846     0.8462     0.3121     1.3077    1.9415    
SITE725      7      0.1429     0.4286     -1.1587    3.0000    3.8359    
SITE734      10     0.4000     0.8000     0.1985     1.4000    2.0976    
SITE735      13     0.3077     0.5385     0.1758     2.0000    2.6018    
SITE739      10     0.6000     0.8000     0.5057     1.1000    1.9748    
SITE747      27     0.2222     0.5556     -0.1666    2.1481    2.7756    
SITE760      29     0.8621     0.8966     -0.0410    0.5172    1.5647    
SITE786      9      0.5556     0.7778     0.1574     1.6667    3.1798    
SITE801      7      0.5714     1.0000     0.9028     0.5714    0.9258    
SITE802      8      0.5000     0.7500     0.3043     1.5000    2.5000    
SITE821      9      0.3333     0.3333     -1.4653    3.8889    5.0442    
SITE831      9      0.5556     0.8889     0.8171     0.7778    1.2910    
SITE844      6      0.5000     0.8333     0.7582     0.8333    1.3540    
SITE852      13     0.5385     0.7692     0.4796     1.1538    1.9014    
--------------------------------------------------------------------------------------------------------------
OVERALL      2655   0.4203     0.7232     0.1716     1.6584    2.5850    
--------------------------------------------------------------------------------------------------------------
