site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE310,27,20,7,4,19,0.2857142984867096,0.5714285969734192,-0.6844919919967651,2.5714285373687744,3.5856857299804688,1.5228316187858582,1.6980900764465332,4
SITE322,36,27,9,47,60,0.5555555820465088,0.7777777910232544,0.4281768798828125,1.0,1.598610520362854,0.5005214512348175,0.8840869069099426,47
SITE323,36,27,9,32,47,0.5555555820465088,0.7777777910232544,0.11067193746566772,1.3333333730697632,2.357022523880005,0.5639870017766953,1.1471201181411743,32
SITE324,63,46,17,27,42,0.3529411852359772,0.7058823704719543,0.10070532560348511,1.8235293626785278,2.818009376525879,0.8202550411224365,1.810840129852295,27
SITE325,34,26,8,44,59,0.5,1.0,0.8586956560611725,0.875,1.2747548818588257,0.6203588545322418,1.3003454208374023,44
SITE327,67,51,16,21,36,0.4375,0.6875,-0.6486129760742188,2.375,3.8242645263671875,0.9328462481498718,1.5941718816757202,21
SITE330,50,36,14,22,37,0.3571428656578064,0.7857142686843872,0.1905536651611328,1.5,2.251983404159546,1.0024600823720295,1.5260719060897827,22
SITE331,28,21,7,43,58,0.5714285969734192,0.7142857313156128,0.5081081092357635,1.1428571939468384,1.927248239517212,0.8513428270816803,1.3612710237503052,43
SITE332,36,27,9,9,24,0.5555555820465088,0.8888888955116272,0.2582417130470276,0.7777777910232544,1.29099440574646,1.03859281539917,1.3763338327407837,9
SITE333,23,18,5,1,16,1.0,1.0,1.0,0.0,0.0,1.6725059747695923,0.9349913001060486,1
SITE334,50,38,12,37,52,0.8333333134651184,0.8333333134651184,0.2583586573600769,0.9166666865348816,2.254624843597412,0.7137147982915243,1.274882435798645,37
SITE336,23,18,5,2,17,0.4000000059604645,0.800000011920929,-0.328125,1.399999976158142,1.8439089059829712,1.21009561419487,1.4681731462478638,2
SITE338,20,15,5,33,48,0.6000000238418579,0.800000011920929,-0.625,1.0,1.6124515533447266,0.5165560841560364,1.2431327104568481,33
SITE339,27,19,8,8,23,0.5,0.75,0.3314763307571411,1.25,1.9364917278289795,1.356126308441162,1.702768325805664,8
SITE340,43,31,12,2,17,0.3333333432674408,0.8333333134651184,0.17291408777236938,1.4166666269302368,2.1794495582580566,1.455634355545044,1.7099021673202515,2
SITE343,48,36,12,4,19,0.4166666567325592,0.5,0.038932085037231445,1.8333333730697632,2.4494898319244385,1.1105573376019795,1.6554977893829346,4
SITE345,28,21,7,9,24,0.5714285969734192,0.8571428656578064,0.7169117331504822,0.7142857313156128,1.2535663843154907,1.1191425621509552,1.1596448421478271,9
SITE353,35,27,8,53,60,0.75,0.875,0.780219778418541,0.5,1.1180340051651,0.25412262976169586,0.7559219598770142,53
SITE355,37,28,9,1,16,0.6666666865348816,0.7777777910232544,0.28820377588272095,1.2222222089767456,2.5603818893432617,1.180783450603485,1.0911309719085693,1
SITE358,54,40,14,21,36,0.3571428656578064,0.7142857313156128,0.08275848627090454,1.5714285373687744,2.3299293518066406,0.7088438471158346,1.647814154624939,21
SITE360,31,23,8,19,34,0.5,0.875,0.5462686419487,0.875,1.541103482246399,0.5768067389726639,1.1673718690872192,19
SITE361,25,18,7,39,54,0.5714285969734192,0.8571428656578064,0.6474820375442505,0.8571428656578064,1.4142135381698608,0.7046235501766205,1.0889877080917358,39
SITE362,41,30,11,1,16,0.4545454680919647,0.8181818127632141,0.5243710577487946,1.3636363744735718,2.2360680103302,1.7429177165031433,1.619810700416565,1
SITE363,45,34,11,8,23,0.6363636255264282,0.7272727489471436,-0.06562495231628418,1.2727272510528564,2.3741025924682617,0.8139528036117554,1.2385555505752563,8
SITE366,44,32,12,34,49,0.3333333432674408,0.5833333134651184,-0.3484419584274292,2.25,3.149074077606201,0.8842017650604248,1.5181301832199097,34
