--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE389      11     0.6364     0.7273     -0.3657    1.6364    3.1623    
SITE397      14     0.2143     0.4286     -1.5289    3.2857    4.2258    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
SITE404      6      0.3333     0.5000     -1.3500    3.0000    3.9581    
SITE406      6      0.3333     0.6667     -0.1489    2.1667    3.2404    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2759     0.6207     -0.6359    2.0345    2.7101    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.2000     0.6667     -0.0935    1.8667    2.2804    
SITE421      11     0.3636     0.5455     -0.9719    2.7273    3.8847    
SITE422      13     0.1538     0.6154     -0.0042    2.0000    2.3859    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.3333     0.4667     -0.4151    2.4000    3.0551    
SITE430      9      0.3333     0.4444     -1.3648    4.2222    5.5578    
SITE434      12     0.2500     0.5000     -0.1463    2.1667    2.7988    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      18     0.1667     0.5556     -0.2986    2.3889    2.8964    
SITE438      15     0.2000     0.5333     -1.5799    2.7333    3.4928    
SITE439      13     0.2308     0.4615     -0.1226    2.3846    3.0255    
SITE442      19     0.2632     0.5789     -0.7279    2.6842    3.6491    
SITE443      6      0.3333     0.5000     -1.0576    3.5000    4.8819    
SITE446      18     0.1667     0.6111     -0.3769    2.7222    3.5040    
SITE447      5      0.2000     0.2000     -2.6916    4.8000    5.6214    
SITE454      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE455      9      0.2222     0.4444     -1.3442    3.7778    4.9889    
SITE460      4      0.2500     0.2500     -2.6316    5.0000    5.8737    
SITE461      5      0.2000     0.4000     -0.0045    2.6000    3.0000    
SITE463      6      0.3333     0.5000     -1.3738    3.5000    4.6007    
SITE464      8      0.5000     0.5000     -0.8993    3.1250    4.5415    
SITE468      6      0.3333     0.5000     -0.4464    2.3333    3.0000    
SITE469      4      0.5000     1.0000     -0.8182    0.7500    1.1180    
SITE471      17     0.3529     0.4118     -1.1710    3.2941    4.4853    
SITE474      6      0.1667     0.3333     -0.3600    2.5000    2.9155    
SITE477      14     0.4286     0.5714     -0.8308    2.5714    3.8173    
SITE483      9      0.2222     0.3333     -2.2838    4.3333    5.1962    
SITE485      10     0.2000     0.2000     -3.1870    5.6000    6.4187    
SITE486      6      0.6667     0.6667     -0.4909    1.5000    2.6141    
SITE490      13     0.3077     0.4615     -1.3065    2.7692    3.6795    
SITE492      6      0.3333     0.6667     -0.5506    1.5000    1.9579    
SITE506      10     0.5000     0.6000     -0.6129    1.9000    3.0822    
SITE508      27     0.2963     0.4815     -1.2368    3.2222    4.3333    
SITE510      6      0.5000     0.5000     -0.7253    2.1667    3.3417    
SITE520      16     0.3125     0.3750     -1.4205    3.1875    4.1608    
SITE521      17     0.2941     0.4706     -1.4167    4.0000    5.2244    
SITE522      18     0.3889     0.4444     -1.1479    3.1111    4.2557    
SITE528      11     0.4545     0.5455     -0.9085    2.1818    3.1623    
SITE538      7      0.2857     0.2857     -1.7396    4.7143    5.9161    
SITE539      7      0.4286     0.4286     -1.2716    3.2857    4.3916    
SITE540      6      0.3333     0.5000     -1.1236    3.3333    4.5826    
SITE541      9      0.3333     0.3333     -1.6352    4.5556    5.7831    
SITE542      8      0.5000     0.6250     0.3333     1.7500    2.7386    
SITE545      9      0.2222     0.6667     -0.1154    2.3333    3.1091    
SITE547      7      0.4286     0.4286     -1.2604    4.7143    6.3133    
SITE556      6      0.3333     0.5000     -0.1300    2.5000    3.4400    
SITE557      19     0.1579     0.6316     -0.0434    2.2632    2.8377    
SITE561      15     0.1333     0.2000     -3.0835    5.2667    6.0608    
SITE563      10     0.3000     0.7000     -0.2941    2.3000    3.1464    
SITE564      9      0.2222     0.3333     -2.0851    4.6667    5.6765    
SITE568      7      0.1429     0.1429     -3.2801    4.7143    5.3852    
SITE569      11     0.2727     0.7273     -0.0127    1.7273    2.4309    
SITE572      8      0.2500     0.7500     -0.2104    2.3750    3.2977    
SITE574      9      0.2222     0.4444     -1.5013    3.7778    4.8762    
SITE575      15     0.2000     0.6000     -0.4465    2.4000    3.1198    
SITE577      9      0.3333     0.3333     -1.5652    4.0000    5.1208    
SITE578      7      0.2857     0.5714     -1.7045    2.1429    2.6992    
SITE580      6      0.3333     0.5000     -0.4800    2.6667    3.5119    
SITE581      10     0.4000     0.6000     -0.3012    1.9000    2.7019    
