--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE362      11     0.3636     0.5455     -0.9631    3.1818    4.5427    
SITE363      11     0.5455     0.6364     -0.5641    1.7273    2.8762    
SITE366      12     0.3333     0.4167     -1.4363    3.2500    4.2328    
SITE367      8      0.6250     0.6250     -0.4620    1.8750    3.3354    
SITE375      6      0.5000     0.6667     -0.5768    2.1667    3.5824    
SITE376      9      0.3333     0.4444     -1.1852    2.6667    3.6209    
SITE377      12     0.4167     0.5833     -0.8182    2.2500    3.3541    
SITE380      8      0.3750     0.3750     -1.2425    3.1250    4.1982    
SITE383      4      0.5000     0.5000     -0.8889    2.0000    2.9155    
SITE385      9      0.2222     0.4444     -0.9107    2.7778    3.4480    
SITE386      11     0.4545     0.6364     -0.8096    2.2727    3.3979    
SITE388      7      0.2857     0.5714     -1.2427    2.2857    3.0706    
SITE389      11     0.6364     0.7273     -0.3657    1.6364    3.1623    
SITE397      14     0.2143     0.5000     -1.0029    2.8571    3.7607    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
SITE404      6      0.3333     0.5000     -1.3500    3.0000    3.9581    
SITE406      6      0.3333     0.6667     -0.1489    2.1667    3.2404    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.2759     0.6207     -0.6359    2.0345    2.7101    
SITE417      24     0.2083     0.5833     -0.0717    2.0417    2.5577    
SITE420      15     0.0667     0.5333     -0.9907    2.6667    3.0768    
SITE421      11     0.3636     0.5455     -0.9719    2.7273    3.8847    
SITE422      13     0.2308     0.6154     0.0501     1.8462    2.3205    
SITE424      6      0.6667     0.6667     -0.4032    1.6667    3.1091    
SITE426      15     0.3333     0.4667     -1.3046    2.9333    3.8987    
SITE430      9      0.3333     0.4444     -1.3648    4.2222    5.5578    
SITE434      12     0.2500     0.5000     0.1829     1.9167    2.3629    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      18     0.1667     0.5556     -0.2986    2.3889    2.8964    
SITE438      15     0.2000     0.7333     -0.4521    1.9333    2.6204    
SITE439      13     0.2308     0.4615     -0.4906    2.6154    3.4862    
SITE442      19     0.2632     0.5789     -0.7279    2.6842    3.6491    
SITE443      6      0.3333     0.5000     -1.0576    3.5000    4.8819    
SITE446      18     0.2778     0.3889     -2.0717    4.0556    5.2334    
SITE447      5      0.4000     0.4000     -0.7991    3.0000    3.9243    
SITE454      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE455      9      0.2222     0.4444     -1.4384    3.8889    5.0881    
SITE460      4      0.2500     0.5000     0.0000     2.5000    3.0822    
SITE461      5      0.2000     0.4000     -0.0045    2.6000    3.0000    
SITE463      6      0.3333     0.5000     -1.3738    3.5000    4.6007    
SITE464      8      0.5000     0.5000     -0.8993    3.1250    4.5415    
SITE468      6      0.1667     0.3333     -1.6518    3.5000    4.0620    
SITE469      4      0.2500     1.0000     -2.2727    1.2500    1.5000    
SITE471      17     0.3529     0.4118     -1.1710    3.2941    4.4853    
SITE474      6      0.3333     0.5000     -1.0000    2.5000    3.5355    
SITE477      14     0.4286     0.5714     -0.8308    2.5714    3.8173    
SITE483      9      0.2222     0.3333     -2.2838    4.3333    5.1962    
SITE485      10     0.2000     0.2000     -3.1159    5.5000    6.3640    
SITE486      6      0.6667     0.6667     -0.4909    1.5000    2.6141    
SITE490      13     0.3077     0.5385     -0.8871    2.4615    3.3282    
SITE492      6      0.3333     0.6667     -0.5506    1.5000    1.9579    
SITE506      10     0.5000     0.6000     -0.6129    1.9000    3.0822    
SITE508      27     0.2963     0.4815     -1.2368    3.2222    4.3333    
SITE510      6      0.5000     0.5000     -0.7253    2.1667    3.3417    
SITE520      16     0.2500     0.4375     -1.4205    3.1875    4.1608    
SITE521      17     0.2941     0.4706     -1.4167    4.0000    5.2244    
SITE522      18     0.3889     0.4444     -1.1479    3.1111    4.2557    
SITE528      11     0.4545     0.5455     -0.9085    2.1818    3.1623    
SITE538      7      0.2857     0.5714     -0.6438    3.2857    4.5826    
SITE539      7      0.4286     0.4286     -1.2716    3.2857    4.3916    
SITE540      6      0.3333     0.5000     -1.1236    3.3333    4.5826    
SITE541      9      0.3333     0.3333     -1.6352    4.5556    5.7831    
SITE542      8      0.2500     0.2500     -1.8000    4.5000    5.6125    
SITE545      9      0.3333     0.5556     -0.5769    2.5556    3.6968    
SITE547      7      0.5714     0.5714     -0.6042    3.4286    5.3184    
SITE556      6      0.3333     0.5000     -0.1300    2.5000    3.4400    
SITE557      19     0.2632     0.6842     0.0589     2.0000    2.6950    
SITE561      15     0.1333     0.3333     -1.0232    3.5333    4.2661    
SITE563      10     0.2000     0.7000     -0.3464    2.5000    3.2094    
SITE564      9      0.2222     0.3333     -2.0851    4.6667    5.6765    
SITE568      7      0.4286     0.7143     0.4307     1.2857    1.9640    
SITE569      11     0.2727     0.7273     -0.0127    1.7273    2.4309    
SITE572      8      0.3750     0.6250     -0.6000    2.6250    3.7914    
SITE574      9      0.2222     0.4444     -1.2675    3.5556    4.6428    
SITE575      15     0.2000     0.6000     -0.4465    2.4000    3.1198    
SITE577      9      0.3333     0.3333     -1.5652    4.0000    5.1208    
SITE578      7      0.2857     0.5714     -1.7045    2.1429    2.6992    
SITE580      6      0.1667     0.5000     -1.3600    3.6667    4.4347    
SITE581      10     0.5000     0.7000     -0.0339    1.6000    2.4083    
SITE584      8      0.3750     0.5000     -0.8630    2.6250    3.8568    
SITE587      8      0.3750     0.5000     -1.0864    3.3750    4.6771    
SITE593      11     0.3636     0.7273     -0.3488    2.0000    2.8604    
SITE595      18     0.1667     0.3889     -2.0349    3.8889    4.7493    
SITE597      8      0.3750     0.6250     0.2893     1.6250    2.2079    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.2500     0.2500     -2.5556    5.7500    6.7823    
SITE602      12     0.3333     0.7500     -0.2253    2.0833    3.3040    
SITE606      15     0.1333     0.4000     -2.3627    4.7333    5.8935    
SITE607      12     0.1667     0.2500     -2.8470    5.0833    5.9090    
SITE610      10     0.2000     0.3000     -2.0076    4.3000    5.2631    
SITE612      14     0.2857     0.3571     -1.4694    3.2857    4.2594    
SITE616      13     0.3077     0.6154     -0.6642    2.6923    3.8331    
SITE617      10     0.2000     0.6000     -0.8723    3.0000    4.1952    
SITE620      17     0.2941     0.5294     -0.9558    2.8824    4.1231    
SITE622      13     0.2308     0.7692     -0.5481    2.2308    3.2933    
SITE623      8      0.2500     0.8750     -0.6667    1.2500    1.5811    
SITE624      9      0.2222     0.7778     -0.7152    2.1111    3.0732    
SITE626      10     0.3000     0.7000     -0.4479    2.7000    4.1352    
SITE629      13     0.2308     0.6154     -0.1182    2.3846    3.0760    
SITE639      11     0.1818     0.2727     -2.4202    4.3636    5.1874    
SITE648      7      0.2857     0.4286     -1.3832    4.1429    5.4380    
SITE658      16     0.1875     0.5625     -0.1270    2.3750    2.9791    
