--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE407      5      0.8000     0.8000     -0.2500    1.2000    2.6833    
SITE411      26     0.2692     0.6923     -0.4243    1.8846    2.5495    
SITE417      21     0.3333     0.8095     0.5265     1.2381    1.7182    
SITE420      11     0.3636     0.6364     -0.1957    1.6364    2.3355    
SITE421      8      0.3750     0.8750     0.4412     1.1250    1.5411    
SITE422      9      0.2222     0.7778     0.1474     1.5556    2.0000    
SITE424      5      0.8000     0.8000     -0.2895    1.4000    3.1305    
SITE426      13     0.5385     0.8462     0.5171     1.0000    1.7321    
SITE430      7      0.8571     1.0000     0.9901     0.1429    0.3780    
SITE434      9      0.5556     0.7778     0.2059     1.3333    2.5820    
SITE435      9      0.5556     0.6667     -0.0925    1.7778    3.0551    
SITE437      15     0.4667     0.6667     0.0871     1.6000    2.4221    
SITE438      14     0.2857     0.7857     -0.5255    1.8571    2.6186    
SITE439      12     0.5833     0.8333     0.7293     0.8333    1.4142    
SITE442      16     0.5625     0.9375     0.5857     0.8750    1.9039    
SITE446      18     0.4444     0.7222     -0.0280    1.9444    3.0277    
SITE454      6      0.6667     0.6667     -0.2054    1.5000    2.7386    
SITE455      7      0.1429     0.4286     -1.0106    3.1429    3.9279    
SITE463      5      0.6000     1.0000     0.7938     0.8000    1.2649    
SITE464      6      0.5000     0.8333     0.3871     1.3333    2.5166    
SITE468      5      0.4000     1.0000     0.6104     1.2000    1.5492    
SITE471      15     0.5333     0.7333     0.6268     1.2000    1.8619    
SITE474      6      0.5000     0.6667     -0.5733    1.8333    3.1358    
SITE477      9      0.5556     0.7778     -0.1580    1.6667    2.9627    
SITE483      8      0.6250     0.8750     0.6433     0.8750    1.6202    
SITE485      9      0.5556     1.0000     0.8676     0.7778    1.2019    
SITE486      5      0.8000     1.0000     0.9597     0.2000    0.4472    
SITE490      11     0.3636     0.7273     0.4156     1.2727    1.7581    
SITE492      5      0.6000     0.8000     0.2857     0.8000    1.4142    
SITE506      8      0.7500     0.7500     0.6720     0.7500    1.5000    
SITE508      24     0.2917     0.5833     -0.0548    2.2083    3.0208    
SITE520      15     0.5333     0.8667     0.7450     0.8667    1.3904    
SITE521      15     0.5333     0.8000     0.6462     1.2000    2.0000    
SITE522      15     0.5333     0.7333     0.3461     1.3333    2.0976    
SITE528      9      0.7778     1.0000     0.9615     0.2222    0.4714    
SITE538      7      0.5714     0.5714     -0.0064    2.2857    3.5857    
SITE539      5      0.2000     0.6000     -0.2168    2.6000    3.3166    
SITE541      8      0.6250     0.7500     0.7579     1.0000    1.6583    
SITE542      7      0.7143     0.8571     0.8504     0.5714    1.1952    
SITE545      8      0.5000     0.7500     0.5580     1.2500    1.9365    
SITE557      16     0.3750     1.0000     0.8103     0.8750    1.1726    
SITE561      14     0.2857     0.7143     0.0940     1.9286    2.8661    
SITE563      9      0.6667     0.8889     0.7568     0.6667    1.4142    
SITE564      7      0.4286     0.5714     0.4453     1.7143    2.4495    
SITE569      11     0.5455     0.8182     0.6261     0.9091    1.4771    
SITE572      7      0.7143     1.0000     0.8600     0.4286    0.8452    
