--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE389      11     0.5455     0.7273     -0.7506    1.9091    3.5802    
SITE397      14     0.2143     0.7143     0.1098     1.8571    2.5071    
SITE401      7      0.5714     0.5714     -0.6550    1.8571    2.9520    
SITE404      6      0.1667     0.3333     -1.5750    3.5000    4.1433    
SITE406      6      0.1667     0.1667     -0.2401    3.0000    3.3665    
SITE407      7      0.7143     0.8571     -0.2333    1.0000    2.2991    
SITE411      29     0.1034     0.3793     -2.4407    3.3793    3.9304    
SITE417      24     0.2500     0.6250     -0.0102    1.9167    2.4833    
SITE420      15     0.1333     0.5333     -1.4533    2.7333    3.4157    
SITE421      11     0.0909     0.2727     -3.4428    5.0909    5.8310    
SITE422      13     0.0000     0.1538     -5.5407    5.5385    6.0891    
SITE424      6      0.0000     0.1667     -2.7258    4.6667    5.0662    
SITE426      15     0.4667     0.8000     0.3127     1.3333    2.1292    
SITE430      9      0.0000     0.4444     -0.2420    3.5556    4.0277    
SITE434      12     0.0833     0.7500     0.0976     2.0000    2.4833    
SITE435      9      0.0000     0.4444     -1.6012    4.0000    4.7140    
SITE437      18     0.1111     0.6667     -0.2212    2.2222    2.8087    
SITE438      15     0.1333     0.6667     -0.6353    2.1333    2.7809    
SITE439      13     0.3077     0.5385     -0.4434    2.3846    3.4306    
SITE442      19     0.1053     0.5789     0.0917     2.1579    2.6458    
SITE443      6      0.0000     0.6667     0.0216     2.6667    3.3665    
SITE446      18     0.2222     0.5000     -0.7259    3.0556    3.9229    
SITE447      5      0.0000     0.4000     -0.3785    3.0000    3.4351    
SITE454      7      0.5714     0.5714     -0.6667    2.0000    3.1623    
SITE455      9      0.1111     0.5556     -0.7267    3.2222    4.2817    
SITE460      4      0.2500     0.5000     -1.3684    3.5000    4.7434    
SITE461      5      0.0000     0.4000     -1.1429    3.6000    4.3818    
SITE463      6      0.1667     0.3333     -0.8505    3.5000    4.0620    
SITE464      8      0.2500     0.2500     -0.8993    3.6250    4.5415    
SITE468      6      0.1667     0.5000     -1.7857    3.3333    4.1633    
SITE469      4      0.5000     1.0000     0.2727     0.5000    0.7071    
SITE471      17     0.0588     0.2941     -1.3996    4.1176    4.7154    
SITE474      6      0.0000     0.5000     -1.9600    3.5000    4.3012    
SITE477      14     0.1429     0.7143     -0.0051    2.2857    2.8284    
SITE483      9      0.2222     0.3333     -1.9054    4.1111    4.8876    
SITE485      10     0.4000     0.8000     -0.8089    2.6000    4.2190    
SITE486      6      0.1667     0.1667     -6.8909    5.1667    6.0139    
SITE490      13     0.3077     0.4615     -1.3065    2.7692    3.6795    
SITE492      6      0.0000     0.0000     -9.6517    5.0000    5.1316    
SITE506      10     0.3000     0.4000     -0.2054    2.1000    2.6646    
SITE508      27     0.2593     0.4444     -1.3956    3.4444    4.4845    
SITE510      6      0.5000     0.5000     -0.9056    2.3333    3.5119    
SITE520      16     0.3125     0.3750     -1.4205    3.1875    4.1608    
SITE521      17     0.2353     0.5294     -0.0417    2.5882    3.4300    
SITE522      18     0.3889     0.4444     -1.1479    3.1111    4.2557    
SITE528      11     0.4545     0.5455     -0.9085    2.1818    3.1623    
SITE538      7      0.2857     0.5714     -0.8003    3.5714    4.7958    
SITE539      7      0.0000     0.0000     -1.6250    4.2857    4.7208    
SITE540      6      0.1667     0.5000     -1.5449    3.8333    5.0166    
SITE541      9      0.1111     0.2222     -0.4446    3.6667    4.2817    
SITE542      8      0.1250     0.2500     -1.0111    3.8750    4.7566    
SITE545      9      0.1111     0.4444     -0.1667    2.7778    3.1798    
SITE547      7      0.4286     0.4286     -1.0417    4.2857    6.0000    
SITE556      6      0.1667     0.3333     -1.5146    4.3333    5.1316    
SITE557      19     0.1579     0.6842     -0.0025    2.1579    2.7815    
SITE561      15     0.2667     0.3333     -1.5049    3.7333    4.7469    
SITE563      10     0.2000     0.3000     -1.6013    3.7000    4.4609    
SITE564      9      0.1111     0.4444     -0.6383    3.3333    4.1366    
SITE568      7      0.2857     0.4286     -0.0753    2.1429    2.6992    
SITE569      11     0.1818     0.6364     -0.4334    2.3636    2.8920    
SITE572      8      0.0000     0.6250     -0.6278    2.8750    3.8243    
SITE574      9      0.2222     0.6667     -0.3325    2.6667    3.5590    
SITE575      15     0.2667     0.4000     -2.0218    3.5333    4.5092    
SITE577      9      0.1111     0.2222     -0.0978    3.0000    3.3500    
SITE578      7      0.2857     0.7143     -1.1212    1.7143    2.3905    
SITE580      6      0.3333     0.6667     0.2200     1.8333    2.5495    
SITE581      10     0.2000     0.4000     -0.8717    2.7000    3.2404    
SITE584      8      0.1250     0.3750     -2.9922    4.6250    5.6458    
SITE587      8      0.3750     0.3750     -1.8137    4.0000    5.4314    
SITE593      11     0.0000     0.2727     -0.8733    3.0000    3.3710    
SITE595      18     0.1111     0.3889     -0.1063    2.4444    2.8674    
SITE597      8      0.2500     0.8750     0.2893     1.6250    2.2079    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.0000     0.2500     -0.9517    4.5000    5.0249    
SITE602      12     0.3333     0.7500     -0.2253    2.0833    3.3040    
SITE606      15     0.2000     0.2667     -2.5822    5.0000    6.0828    
SITE607      12     0.2500     0.2500     -2.5073    4.6667    5.6421    
SITE610      10     0.2000     0.7000     -0.3138    2.5000    3.4785    
SITE612      14     0.0000     0.3571     -1.8194    4.0000    4.5513    
SITE616      13     0.1538     0.5385     -1.7359    3.6923    4.9147    
SITE617      10     0.2000     0.6000     -0.1064    2.4000    3.2249    
SITE620      17     0.0000     0.1765     -1.1182    3.9412    4.2909    
SITE622      13     0.1538     0.4615     -0.6470    2.7692    3.3968    
SITE623      8      0.2500     0.8750     -0.6667    1.2500    1.5811    
SITE624      9      0.2222     0.7778     0.0919     1.6667    2.2361    
SITE626      10     0.3000     0.5000     -0.7866    3.3000    4.5935    
SITE629      13     0.0000     0.3846     -1.7000    4.0769    4.7798    
SITE639      11     0.0909     0.6364     -0.0168    2.3636    2.8284    
SITE648      7      0.0000     0.2857     0.0789     3.1429    3.3806    
SITE658      16     0.1250     0.2500     -2.1270    4.2500    4.9624    
SITE683      7      0.0000     0.4286     -5.5545    3.2857    3.8359    
SITE684      14     0.1429     0.5714     0.0696     2.2143    2.7386    
SITE692      15     0.2000     0.7333     -0.2195    2.1333    2.8284    
SITE719      16     0.2500     0.5625     -0.8853    2.7500    3.7749    
SITE721      12     0.0000     0.3333     -1.1176    3.8333    4.3589    
SITE722      14     0.2143     0.7143     -0.0640    1.7143    2.3299    
SITE725      9      0.1111     0.4444     -0.8514    3.2222    3.9016    
SITE734      13     0.2308     0.6923     -0.3224    2.1538    3.0128    
SITE735      17     0.1765     0.4118     -0.3121    2.7059    3.2899    
SITE739      10     0.1000     0.3000     -1.0786    3.4000    4.0497    
SITE747      30     0.1000     0.6333     -0.2637    2.3000    2.8461    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.1000     0.4000     -0.7021    3.6000    4.2895    
SITE801      8      0.3750     0.8750     0.7630     1.0000    1.4142    
SITE802      9      0.3333     0.6667     -0.8138    2.5556    3.8152    
SITE807      7      0.1429     0.5714     -3.8125    3.5714    4.5198    
SITE808      7      0.1429     0.2857     -0.8194    3.4286    4.1057    
SITE821      10     0.0000     0.5000     -0.7330    3.5000    4.0125    
SITE831      11     0.1818     0.5455     -0.0040    2.3636    2.8920    
SITE844      7      0.4286     0.7143     -1.0125    2.0000    3.6253    
SITE852      14     0.0714     0.5714     -0.7445    2.8571    3.3806    
SITE871      7      0.1429     0.2857     -2.0092    4.7143    5.7694    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.1937     0.5087     -0.6942    2.8543    3.7182    
--------------------------------------------------------------------------------------------------------------
