site_id,n_total,n_train,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,test_loss,epoch
SITE111,42,31,11,20,35,0.5454545617103577,0.7272727489471436,0.12477391958236694,1.6363636255264282,2.8284270763397217,1.3848008513450623,1.5831793546676636,20
SITE115,58,42,16,19,34,0.3125,0.6875,-0.1628168821334839,1.9375,2.839454174041748,1.3015739917755127,1.7152175903320312,19
SITE116,48,35,13,13,28,0.4615384638309479,0.692307710647583,0.2586776614189148,1.4615384340286255,2.3038430213928223,1.1589759588241577,1.8811930418014526,13
SITE117,89,68,21,40,55,0.380952388048172,0.761904776096344,-0.1321563720703125,1.476190447807312,2.319688081741333,1.591797113418579,1.6224082708358765,40
SITE119,35,25,10,32,47,0.30000001192092896,0.6000000238418579,-0.2270803451538086,2.299999952316284,2.9495761394500732,1.3586657643318176,1.6164121627807617,32
SITE127,46,34,12,21,36,0.1666666716337204,0.5833333134651184,0.08762884140014648,1.9166666269302368,2.217355728149414,1.5510090589523315,2.0801186561584473,21
SITE128,57,43,14,21,36,0.1428571492433548,0.7142857313156128,-0.9277652502059937,2.5,3.615442991256714,1.5895610650380452,1.8591033220291138,21
SITE129,51,37,14,2,17,0.2142857164144516,0.5714285969734192,-0.19053709506988525,2.357142925262451,3.082206964492798,1.9760833978652954,2.2582740783691406,2
SITE132,31,23,8,36,51,0.5,0.75,-0.13443827629089355,1.875,3.1024184226989746,1.0887286067008972,1.435633659362793,36
SITE134,24,16,8,60,60,0.5,0.625,-0.6793893575668335,2.25,3.708099126815796,1.4254262447357178,2.08305025100708,60
SITE156,56,44,12,11,26,0.4166666567325592,0.6666666865348816,0.0476190447807312,1.5833333730697632,2.3273732662200928,1.301716725031535,1.7214006185531616,11
SITE160,30,21,9,18,33,0.3333333432674408,0.6666666865348816,-0.27910947799682617,2.1111111640930176,3.036811113357544,1.170701801776886,1.599380373954773,18
SITE161,45,33,12,25,40,0.4166666567325592,0.75,0.4937678575515747,1.3333333730697632,1.9148542881011963,0.7871099511782328,1.677317500114441,25
SITE165,26,19,7,30,45,0.2857142984867096,0.7142857313156128,0.3567567467689514,1.7142857313156128,2.203892707824707,1.032899260520935,1.7798583507537842,30
SITE167,33,23,10,7,22,0.4000000059604645,0.800000011920929,0.0014683008193969727,1.600000023841858,2.6076810359954834,1.4903646111488342,1.6258350610733032,7
SITE168,33,24,9,45,60,0.4444444477558136,0.8888888955116272,0.720095694065094,1.1111111640930176,1.6996731758117676,0.7513004243373871,1.3324735164642334,45
SITE169,48,35,13,18,33,0.4615384638309479,0.6153846383094788,-0.5258780717849731,2.076923131942749,3.125576972961426,1.4726637204488118,1.81044340133667,18
SITE171,38,28,10,8,23,0.30000001192092896,0.6000000238418579,-0.2613784074783325,2.299999952316284,3.1144821643829346,1.4767194986343384,1.7181453704833984,8
