--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE389      10     0.6000     0.7000     -0.4175    1.8000    3.3166    
SITE397      12     0.1667     0.4167     -1.6497    3.4167    4.3301    
SITE401      5      0.8000     0.8000     -0.2500    1.2000    2.6833    
SITE407      5      0.8000     0.8000     -0.2500    1.2000    2.6833    
SITE411      26     0.2692     0.5769     -0.7783    2.1923    2.8488    
SITE417      21     0.2381     0.6190     -0.0004    1.9524    2.4976    
SITE420      11     0.1818     0.3636     -2.3478    3.2727    3.9080    
SITE421      8      0.3750     0.6250     -0.9412    2.0000    2.8723    
SITE422      9      0.1111     0.6667     -0.4447    2.1111    2.6034    
SITE424      5      0.6000     0.6000     -0.5263    2.0000    3.4059    
SITE426      13     0.4615     0.5385     -0.3743    2.0769    2.9221    
SITE430      7      0.4286     0.5714     -0.9521    3.7143    5.3184    
SITE434      9      0.2222     0.4444     -0.0721    2.3333    3.0000    
SITE435      9      0.3333     0.4444     -1.1329    3.1111    4.2687    
SITE437      15     0.2000     0.4667     -0.5041    2.6000    3.1091    
SITE438      14     0.2143     0.7143     -0.1918    1.7857    2.3146    
SITE439      12     0.2500     0.5000     -0.2406    2.3333    3.0277    
SITE442      16     0.2500     0.5625     -0.7143    2.8750    3.8730    
SITE446      18     0.1667     0.3889     -1.1246    3.6111    4.3525    
SITE454      6      0.5000     0.5000     -0.8750    2.3333    3.4157    
SITE455      7      0.1429     0.4286     -1.6622    3.5714    4.5198    
SITE463      5      0.4000     0.6000     -1.0103    2.8000    3.9497    
SITE464      6      0.5000     0.5000     -0.8710    3.0000    4.3970    
SITE468      5      0.4000     0.6000     -0.2338    2.0000    2.7568    
SITE471      15     0.3333     0.4000     -1.1962    3.3333    4.5166    
SITE474      6      0.3333     0.5000     -1.0000    2.5000    3.5355    
SITE477      9      0.4444     0.5556     -0.8616    2.5556    3.7565    
SITE483      8      0.2500     0.3750     -2.0403    3.8750    4.7302    
SITE485      9      0.4444     0.7778     0.5622     1.4444    2.1858    
SITE486      5      0.6000     0.6000     -0.6532    1.8000    2.8636    
SITE490      11     0.2727     0.4545     -1.4062    2.7273    3.5675    
SITE492      5      0.4000     0.6000     -0.3571    1.4000    1.9494    
SITE506      8      0.5000     0.5000     -0.6583    2.1250    3.3727    
SITE508      24     0.2917     0.4583     -1.3167    3.3750    4.4768    
SITE520      15     0.3333     0.4000     -1.2948    3.1333    4.1713    
SITE521      15     0.2667     0.4000     -1.7123    4.4000    5.5377    
SITE522      15     0.4000     0.4667     -1.1103    2.7333    3.7683    
SITE528      9      0.4444     0.5556     -0.9423    2.3333    3.3500    
SITE538      7      0.2857     0.2857     -1.7396    4.7143    5.9161    
SITE539      5      0.4000     0.4000     -1.4336    3.6000    4.6904    
SITE541      8      0.2500     0.2500     -2.3122    5.1250    6.1339    
SITE542      7      0.1429     0.1429     -2.7692    5.1429    6.0000    
SITE545      8      0.2500     0.6250     -0.2228    2.3750    3.2210    
SITE557      16     0.1875     0.6250     -0.1379    2.2500    2.8723    
SITE561      14     0.1429     0.2143     -2.8368    5.0714    5.8979    
SITE563      9      0.2222     0.6667     -0.3378    2.5556    3.3166    
SITE564      7      0.2857     0.2857     -1.9321    4.5714    5.6315    
SITE569      11     0.2727     0.7273     -0.0127    1.7273    2.4309    
SITE572      7      0.2857     0.8571     -0.0640    1.7143    2.3299    
SITE574      6      0.3333     0.5000     -1.0743    2.8333    3.9370    
SITE575      14     0.2143     0.6429     -0.3509    2.1429    2.8031    
SITE577      6      0.3333     0.6667     -0.4030    1.8333    2.7988    
SITE578      7      0.2857     0.5714     -1.7045    2.1429    2.6992    
SITE581      9      0.3333     0.5556     -0.3463    2.1111    2.8480    
SITE584      7      0.4286     0.5714     -1.1803    1.7143    2.3299    
SITE587      8      0.3750     0.5000     -1.0864    3.3750    4.6771    
SITE593      10     0.4000     0.8000     -0.2416    1.8000    2.7203    
SITE595      16     0.3125     0.5000     -0.4241    2.3125    3.0923    
SITE597      7      0.2857     0.5714     -0.0523    2.0000    2.5635    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.2500     0.2500     -2.5556    5.7500    6.7823    
SITE602      10     0.3000     0.8000     -0.1389    1.8000    2.8636    
SITE606      13     0.3077     0.6154     -0.8233    2.9231    4.3501    
SITE607      9      0.2222     0.3333     -1.6562    3.7778    4.7842    
SITE610      8      0.2500     0.3750     -1.6309    3.3750    4.2866    
SITE612      13     0.2308     0.3077     -1.7841    3.5385    4.4202    
SITE616      11     0.2727     0.6364     -0.9135    2.8182    4.0788    
SITE617      10     0.2000     0.6000     -0.1064    2.4000    3.2249    
SITE620      15     0.2667     0.5333     -1.0154    3.0667    4.3205    
SITE622      10     0.3000     0.7000     -0.0063    1.8000    2.5298    
SITE623      8      0.2500     0.8750     -0.6667    1.2500    1.5811    
SITE624      7      0.1429     0.5714     -1.6409    2.7143    3.4434    
SITE626      7      0.2857     0.8571     -0.1947    1.8571    3.1848    
SITE629      10     0.2000     0.6000     -0.1081    2.3000    2.8810    
SITE639      10     0.2000     0.6000     -0.2438    2.4000    3.1623    
SITE658      12     0.1667     0.2500     -2.7042    4.8333    5.6569    
SITE683      7      0.4286     0.7143     -1.1000    1.5714    2.1712    
SITE684      13     0.1538     0.2308     -3.1935    5.0769    5.8177    
SITE692      13     0.2308     0.3846     -0.9242    2.9231    3.5518    
SITE719      14     0.2857     0.7857     -0.0220    1.7857    2.4349    
SITE721      10     0.2000     0.6000     -0.0011    2.5000    3.0822    
SITE722      13     0.2308     0.6923     -0.0389    1.8462    2.3859    
SITE725      7      0.1429     0.5714     -0.0269    2.1429    2.6458    
SITE734      10     0.3000     0.7000     -0.2204    1.9000    2.5884    
SITE735      13     0.2308     0.4615     -0.8826    3.0000    3.9321    
SITE739      10     0.2000     0.5000     -0.0013    2.3000    2.8107    
SITE747      27     0.1852     0.5926     -0.4022    2.2963    3.0429    
SITE760      29     0.8621     0.8966     -0.0410    0.5172    1.5647    
SITE786      9      0.2222     0.6667     -0.4537    2.7778    4.1767    
SITE801      7      0.2857     0.7143     -0.2801    2.1429    3.3594    
SITE802      8      0.3750     0.6250     -0.7670    2.6250    3.9843    
SITE821      9      0.3333     0.3333     -1.4653    3.8889    5.0442    
SITE831      9      0.2222     0.3333     -1.7561    4.0000    5.0111    
SITE844      6      0.3333     0.6667     -0.0330    1.8333    2.7988    
SITE852      13     0.1538     0.6154     -0.0077    2.2308    2.6458    
--------------------------------------------------------------------------------------------------------------
OVERALL      2655   0.2780     0.5612     -0.5809    2.5834    3.5710    
--------------------------------------------------------------------------------------------------------------
